date,year,season,RONI
1988-02,1988,JFM,0.3
1988-03,1988,FMA,-0.2
1988-04,1988,MAM,-0.7
1988-05,1988,AMJ,-1.4
1988-06,1988,MJJ,-1.7
1988-07,1988,JJA,-1.6
1988-08,1988,JAS,-1.3
1988-09,1988,ASO,-1.4
1988-10,1988,SON,-1.6
1988-11,1988,OND,-1.9
1988-12,1988,NDJ,-1.9
1989-01,1989,DJF,-1.7
1989-02,1989,JFM,-1.4
1989-03,1989,FMA,-1.1
1989-04,1989,MAM,-0.8
1989-05,1989,AMJ,-0.6
1989-06,1989,MJJ,-0.4
1989-07,1989,JJA,-0.3
1989-08,1989,JAS,-0.3
1989-09,1989,ASO,-0.2
1989-10,1989,SON,-0.2
1989-11,1989,OND,-0.1
1989-12,1989,NDJ,0.0
1990-01,1990,DJF,0.2
1990-02,1990,JFM,0.3
1990-03,1990,FMA,0.3
1990-04,1990,MAM,0.3
1990-05,1990,AMJ,0.2
1990-06,1990,MJJ,0.2
1990-07,1990,JJA,0.3
1990-08,1990,JAS,0.4
1990-09,1990,ASO,0.4
1990-10,1990,SON,0.4
1990-11,1990,OND,0.4
1990-12,1990,NDJ,0.5
1991-01,1991,DJF,0.6
1991-02,1991,JFM,0.5
1991-03,1991,FMA,0.4
1991-04,1991,MAM,0.4
1991-05,1991,AMJ,0.5
1991-06,1991,MJJ,0.7
1991-07,1991,JJA,0.8
1991-08,1991,JAS,0.8
1991-09,1991,ASO,0.9
1991-10,1991,SON,1.2
1991-11,1991,OND,1.7
1991-12,1991,NDJ,2.1
1992-01,1992,DJF,2.3
1992-02,1992,JFM,2.2
1992-03,1992,FMA,2.0
1992-04,1992,MAM,1.7
1992-05,1992,AMJ,1.4
1992-06,1992,MJJ,0.9
1992-07,1992,JJA,0.5
1992-08,1992,JAS,0.3
1992-09,1992,ASO,0.2
1992-10,1992,SON,0.1
1992-11,1992,OND,0.1
1992-12,1992,NDJ,0.3
1993-01,1993,DJF,0.5
1993-02,1993,JFM,0.7
1993-03,1993,FMA,0.9
1993-04,1993,MAM,1.0
1993-05,1993,AMJ,0.9
1993-06,1993,MJJ,0.7
1993-07,1993,JJA,0.5
1993-08,1993,JAS,0.5
1993-09,1993,ASO,0.5
1993-10,1993,SON,0.4
1993-11,1993,OND,0.3
1993-12,1993,NDJ,0.3
1994-01,1994,DJF,0.3
1994-02,1994,JFM,0.3
1994-03,1994,FMA,0.4
1994-04,1994,MAM,0.5
1994-05,1994,AMJ,0.6
1994-06,1994,MJJ,0.6
1994-07,1994,JJA,0.7
1994-08,1994,JAS,0.8
1994-09,1994,ASO,1.0
1994-10,1994,SON,1.1
1994-11,1994,OND,1.3
1994-12,1994,NDJ,1.4
1995-01,1995,DJF,1.3
1995-02,1995,JFM,1.0
1995-03,1995,FMA,0.7
1995-04,1995,MAM,0.4
1995-05,1995,AMJ,0.1
1995-06,1995,MJJ,-0.1
1995-07,1995,JJA,-0.3
1995-08,1995,JAS,-0.5
1995-09,1995,ASO,-0.7
1995-10,1995,SON,-0.9
1995-11,1995,OND,-0.9
1995-12,1995,NDJ,-0.9
1996-01,1996,DJF,-0.9
1996-02,1996,JFM,-0.8
1996-03,1996,FMA,-0.6
1996-04,1996,MAM,-0.4
1996-05,1996,AMJ,-0.3
1996-06,1996,MJJ,-0.3
1996-07,1996,JJA,-0.2
1996-08,1996,JAS,-0.2
1996-09,1996,ASO,-0.2
1996-10,1996,SON,-0.3
1996-11,1996,OND,-0.3
1996-12,1996,NDJ,-0.3
1997-01,1997,DJF,-0.2
1997-02,1997,JFM,-0.1
1997-03,1997,FMA,0.2
1997-04,1997,MAM,0.5
1997-05,1997,AMJ,1.0
1997-06,1997,MJJ,1.3
1997-07,1997,JJA,1.7
1997-08,1997,JAS,2.0
1997-09,1997,ASO,2.3
1997-10,1997,SON,2.4
1997-11,1997,OND,2.4
1997-12,1997,NDJ,2.3
1998-01,1998,DJF,2.2
1998-02,1998,JFM,1.8
1998-03,1998,FMA,1.3
1998-04,1998,MAM,0.8
1998-05,1998,AMJ,0.1
1998-06,1998,MJJ,-0.5
1998-07,1998,JJA,-1.2
1998-08,1998,JAS,-1.4
1998-09,1998,ASO,-1.5
1998-10,1998,SON,-1.5
1998-11,1998,OND,-1.6
1998-12,1998,NDJ,-1.6
1999-01,1999,DJF,-1.5
1999-02,1999,JFM,-1.3
1999-03,1999,FMA,-1.1
1999-04,1999,MAM,-1.0
1999-05,1999,AMJ,-1.0
1999-06,1999,MJJ,-1.0
1999-07,1999,JJA,-1.0
1999-08,1999,JAS,-1.0
1999-09,1999,ASO,-1.0
1999-10,1999,SON,-1.1
1999-11,1999,OND,-1.4
1999-12,1999,NDJ,-1.6
2000-01,2000,DJF,-1.7
2000-02,2000,JFM,-1.4
2000-03,2000,FMA,-1.1
2000-04,2000,MAM,-0.8
2000-05,2000,AMJ,-0.6
2000-06,2000,MJJ,-0.5
2000-07,2000,JJA,-0.4
2000-08,2000,JAS,-0.4
2000-09,2000,ASO,-0.4
2000-10,2000,SON,-0.6
2000-11,2000,OND,-0.7
2000-12,2000,NDJ,-0.7
2001-01,2001,DJF,-0.6
2001-02,2001,JFM,-0.5
2001-03,2001,FMA,-0.5
2001-04,2001,MAM,-0.5
2001-05,2001,AMJ,-0.3
2001-06,2001,MJJ,-0.1
2001-07,2001,JJA,0.0
2001-08,2001,JAS,0.0
2001-09,2001,ASO,0.0
2001-10,2001,SON,-0.2
2001-11,2001,OND,-0.2
2001-12,2001,NDJ,-0.3
2002-01,2002,DJF,-0.1
2002-02,2002,JFM,0.0
2002-03,2002,FMA,0.0
2002-04,2002,MAM,0.1
2002-05,2002,AMJ,0.4
2002-06,2002,MJJ,0.7
2002-07,2002,JJA,0.9
2002-08,2002,JAS,1.1
2002-09,2002,ASO,1.3
2002-10,2002,SON,1.4
2002-11,2002,OND,1.5
2002-12,2002,NDJ,1.2
2003-01,2003,DJF,0.9
2003-02,2003,JFM,0.5
2003-03,2003,FMA,0.2
2003-04,2003,MAM,-0.2
2003-05,2003,AMJ,-0.4
2003-06,2003,MJJ,-0.3
2003-07,2003,JJA,0.0
2003-08,2003,JAS,0.2
2003-09,2003,ASO,0.2
2003-10,2003,SON,0.2
2003-11,2003,OND,0.3
2003-12,2003,NDJ,0.3
2004-01,2004,DJF,0.3
2004-02,2004,JFM,0.1
2004-03,2004,FMA,0.1
2004-04,2004,MAM,0.2
2004-05,2004,AMJ,0.3
2004-06,2004,MJJ,0.5
2004-07,2004,JJA,0.7
2004-08,2004,JAS,0.8
2004-09,2004,ASO,0.9
2004-10,2004,SON,0.8
2004-11,2004,OND,0.7
2004-12,2004,NDJ,0.7
2005-01,2005,DJF,0.6
2005-02,2005,JFM,0.4
2005-03,2005,FMA,0.3
2005-04,2005,MAM,0.3
2005-05,2005,AMJ,0.2
2005-06,2005,MJJ,0.0
2005-07,2005,JJA,-0.1
2005-08,2005,JAS,-0.1
2005-09,2005,ASO,0.0
2005-10,2005,SON,-0.2
2005-11,2005,OND,-0.5
2005-12,2005,NDJ,-0.8
2006-01,2006,DJF,-0.9
2006-02,2006,JFM,-0.9
2006-03,2006,FMA,-0.6
2006-04,2006,MAM,-0.4
2006-05,2006,AMJ,-0.1
2006-06,2006,MJJ,0.0
2006-07,2006,JJA,0.1
2006-08,2006,JAS,0.3
2006-09,2006,ASO,0.5
2006-10,2006,SON,0.8
2006-11,2006,OND,0.9
2006-12,2006,NDJ,0.9
2007-01,2007,DJF,0.6
2007-02,2007,JFM,0.2
2007-03,2007,FMA,-0.2
2007-04,2007,MAM,-0.4
2007-05,2007,AMJ,-0.4
2007-06,2007,MJJ,-0.5
2007-07,2007,JJA,-0.6
2007-08,2007,JAS,-0.8
2007-09,2007,ASO,-1.0
2007-10,2007,SON,-1.3
2007-11,2007,OND,-1.4
2007-12,2007,NDJ,-1.5
2008-01,2008,DJF,-1.6
2008-02,2008,JFM,-1.5
2008-03,2008,FMA,-1.3
2008-04,2008,MAM,-0.9
2008-05,2008,AMJ,-0.8
2008-06,2008,MJJ,-0.5
2008-07,2008,JJA,-0.3
2008-08,2008,JAS,-0.2
2008-09,2008,ASO,-0.3
2008-10,2008,SON,-0.4
2008-11,2008,OND,-0.6
2008-12,2008,NDJ,-0.8
2009-01,2009,DJF,-0.9
2009-02,2009,JFM,-0.8
2009-03,2009,FMA,-0.7
2009-04,2009,MAM,-0.4
2009-05,2009,AMJ,-0.1
2009-06,2009,MJJ,0.1
2009-07,2009,JJA,0.3
2009-08,2009,JAS,0.4
2009-09,2009,ASO,0.6
2009-10,2009,SON,0.9
2009-11,2009,OND,1.3
2009-12,2009,NDJ,1.6
2010-01,2010,DJF,1.5
2010-02,2010,JFM,1.1
2010-03,2010,FMA,0.6
2010-04,2010,MAM,0.1
2010-05,2010,AMJ,-0.5
2010-06,2010,MJJ,-1.0
2010-07,2010,JJA,-1.3
2010-08,2010,JAS,-1.5
2010-09,2010,ASO,-1.7
2010-10,2010,SON,-1.7
2010-11,2010,OND,-1.7
2010-12,2010,NDJ,-1.6
2011-01,2011,DJF,-1.4
2011-02,2011,JFM,-1.2
2011-03,2011,FMA,-0.9
2011-04,2011,MAM,-0.7
2011-05,2011,AMJ,-0.5
2011-06,2011,MJJ,-0.3
2011-07,2011,JJA,-0.4
2011-08,2011,JAS,-0.5
2011-09,2011,ASO,-0.7
2011-10,2011,SON,-0.9
2011-11,2011,OND,-1.0
2011-12,2011,NDJ,-1.0
2012-01,2012,DJF,-0.8
2012-02,2012,JFM,-0.6
2012-03,2012,FMA,-0.6
2012-04,2012,MAM,-0.5
2012-05,2012,AMJ,-0.3
2012-06,2012,MJJ,0.0
2012-07,2012,JJA,0.3
2012-08,2012,JAS,0.4
2012-09,2012,ASO,0.4
2012-10,2012,SON,0.2
2012-11,2012,OND,-0.1
2012-12,2012,NDJ,-0.4
2013-01,2013,DJF,-0.6
2013-02,2013,JFM,-0.6
2013-03,2013,FMA,-0.5
2013-04,2013,MAM,-0.4
2013-05,2013,AMJ,-0.4
2013-06,2013,MJJ,-0.4
2013-07,2013,JJA,-0.4
2013-08,2013,JAS,-0.3
2013-09,2013,ASO,-0.3
2013-10,2013,SON,-0.2
2013-11,2013,OND,-0.2
2013-12,2013,NDJ,-0.3
2014-01,2014,DJF,-0.5
2014-02,2014,JFM,-0.5
2014-03,2014,FMA,-0.3
2014-04,2014,MAM,0.0
2014-05,2014,AMJ,0.1
2014-06,2014,MJJ,0.0
2014-07,2014,JJA,-0.1
2014-08,2014,JAS,-0.1
2014-09,2014,ASO,0.1
2014-10,2014,SON,0.4
2014-11,2014,OND,0.5
2014-12,2014,NDJ,0.6
2015-01,2015,DJF,0.5
2015-02,2015,JFM,0.4
2015-03,2015,FMA,0.5
2015-04,2015,MAM,0.6
2015-05,2015,AMJ,0.8
2015-06,2015,MJJ,1.0
2015-07,2015,JJA,1.3
2015-08,2015,JAS,1.6
2015-09,2015,ASO,1.9
2015-10,2015,SON,2.2
2015-11,2015,OND,2.3
2015-12,2015,NDJ,2.4
2016-01,2016,DJF,2.2
2016-02,2016,JFM,1.8
2016-03,2016,FMA,1.3
2016-04,2016,MAM,0.5
2016-05,2016,AMJ,-0.1
2016-06,2016,MJJ,-0.6
2016-07,2016,JJA,-0.9
2016-08,2016,JAS,-1.0
2016-09,2016,ASO,-1.1
2016-10,2016,SON,-1.1
2016-11,2016,OND,-1.1
2016-12,2016,NDJ,-1.0
2017-01,2017,DJF,-0.7
2017-02,2017,JFM,-0.5
2017-03,2017,FMA,-0.3
2017-04,2017,MAM,-0.1
2017-05,2017,AMJ,0.1
2017-06,2017,MJJ,0.1
2017-07,2017,JJA,-0.2
2017-08,2017,JAS,-0.5
2017-09,2017,ASO,-0.7
2017-10,2017,SON,-1.0
2017-11,2017,OND,-1.1
2017-12,2017,NDJ,-1.3
2018-01,2018,DJF,-1.1
2018-02,2018,JFM,-1.0
2018-03,2018,FMA,-0.9
2018-04,2018,MAM,-0.7
2018-05,2018,AMJ,-0.3
2018-06,2018,MJJ,0.0
2018-07,2018,JJA,0.1
2018-08,2018,JAS,0.2
2018-09,2018,ASO,0.4
2018-10,2018,SON,0.7
2018-11,2018,OND,0.8
2018-12,2018,NDJ,0.7
2019-01,2019,DJF,0.6
2019-02,2019,JFM,0.6
2019-03,2019,FMA,0.6
2019-04,2019,MAM,0.5
2019-05,2019,AMJ,0.3
2019-06,2019,MJJ,0.2
2019-07,2019,JJA,0.0
2019-08,2019,JAS,-0.1
2019-09,2019,ASO,0.0
2019-10,2019,SON,0.1
2019-11,2019,OND,0.2
2019-12,2019,NDJ,0.2
2020-01,2020,DJF,0.1
2020-02,2020,JFM,0.1
2020-03,2020,FMA,0.0
2020-04,2020,MAM,-0.3
2020-05,2020,AMJ,-0.6
2020-06,2020,MJJ,-0.8
2020-07,2020,JJA,-0.8
2020-08,2020,JAS,-0.9
2020-09,2020,ASO,-1.2
2020-10,2020,SON,-1.5
2020-11,2020,OND,-1.5
2020-12,2020,NDJ,-1.4
2021-01,2021,DJF,-1.2
2021-02,2021,JFM,-1.0
2021-03,2021,FMA,-1.0
2021-04,2021,MAM,-0.8
2021-05,2021,AMJ,-0.6
2021-06,2021,MJJ,-0.5
2021-07,2021,JJA,-0.6
2021-08,2021,JAS,-0.7
2021-09,2021,ASO,-0.9
2021-10,2021,SON,-1.1
2021-11,2021,OND,-1.2
2021-12,2021,NDJ,-1.2
2022-01,2022,DJF,-1.2
2022-02,2022,JFM,-1.2
2022-03,2022,FMA,-1.3
2022-04,2022,MAM,-1.3
2022-05,2022,AMJ,-1.2
2022-06,2022,MJJ,-1.0
2022-07,2022,JJA,-0.9
2022-08,2022,JAS,-1.0
2022-09,2022,ASO,-1.1
2022-10,2022,SON,-1.1
2022-11,2022,OND,-1.0
2022-12,2022,NDJ,-1.0
2023-01,2023,DJF,-0.8
2023-02,2023,JFM,-0.6
2023-03,2023,FMA,-0.4
2023-04,2023,MAM,-0.2
2023-05,2023,AMJ,0.1
2023-06,2023,MJJ,0.4
2023-07,2023,JJA,0.6
2023-08,2023,JAS,0.9
2023-09,2023,ASO,1.1
2023-10,2023,SON,1.4
2023-11,2023,OND,1.5
2023-12,2023,NDJ,1.5
2024-01,2024,DJF,1.2
2024-02,2024,JFM,0.9
2024-03,2024,FMA,0.5
2024-04,2024,MAM,0.1
2024-05,2024,AMJ,-0.3
2024-06,2024,MJJ,-0.5
2024-07,2024,JJA,-0.5
2024-08,2024,JAS,-0.6
2024-09,2024,ASO,-0.8
2024-10,2024,SON,-0.8
2024-11,2024,OND,-0.9
2024-12,2024,NDJ,-1.1
2025-01,2025,DJF,-1.1
2025-02,2025,JFM,-0.9
2025-03,2025,FMA,-0.7
2025-04,2025,MAM,-0.5
2025-05,2025,AMJ,-0.5
2025-06,2025,MJJ,-0.4
2025-07,2025,JJA,-0.5
2025-08,2025,JAS,-0.6
2025-09,2025,ASO,-0.8
2025-10,2025,SON,-0.9
2025-11,2025,OND,-0.9
2025-12,2025,NDJ,-1.0
2026-01,2026,DJF,-0.9
2026-02,2026,JFM,-0.7
